iter	Logloss
0	0.6789007434
1	0.6667155661
2	0.6557702124
3	0.6466417129
4	0.6387857389
5	0.6315950377
6	0.6239979421
7	0.6176336068
8	0.6126132166
9	0.6077980442
10	0.603659115
11	0.5997413382
12	0.5959987983
13	0.5925355678
14	0.5890306585
15	0.5860914553
16	0.5830082837
17	0.5802760463
18	0.5774886334
19	0.5753573639
20	0.5728413502
21	0.5709108344
22	0.5685834375
23	0.5663344013
24	0.5645770543
25	0.5629208361
26	0.5604264398
27	0.5589725292
28	0.5574189839
29	0.5560497668
30	0.5545089174
31	0.5527567428
32	0.5515937169
33	0.5504662303
34	0.5491732431
35	0.5479385733
36	0.5463232632
37	0.545189164
38	0.5441688648
39	0.5429878292
40	0.5416826431
41	0.5407572614
42	0.539655483
43	0.5388923217
44	0.5379584789
45	0.5370572749
46	0.5362274351
47	0.5352157361
48	0.5341471065
49	0.5334136046
50	0.5326264442
51	0.5320198599
52	0.5311682256
53	0.5304069601
54	0.5297176437
55	0.5291348309
56	0.5277779966
57	0.5269146259
58	0.5261948024
59	0.5256603779
60	0.5248691512
61	0.5242683919
62	0.5236355409
63	0.523063131
64	0.5225152764
65	0.5219563573
66	0.5212922481
67	0.5207735287
68	0.520102178
69	0.5193415997
70	0.5187557617
71	0.5183381903
72	0.5178380054
73	0.5173770065
74	0.5168884655
75	0.5164927917
76	0.5160288171
77	0.5156166593
78	0.5151095637
79	0.5146638712
80	0.5140123855
81	0.5134832466
82	0.5129555762
83	0.5123631423
84	0.5118983074
85	0.5115542853
86	0.5108511924
87	0.5104703926
88	0.5100471491
89	0.5096555309
90	0.5092403659
91	0.5089448655
92	0.508660646
93	0.508354257
94	0.5079474033
95	0.5075452823
96	0.5071875419
97	0.5068964615
98	0.5065741759
99	0.5060956305
100	0.5054432317
101	0.5050561465
102	0.5047422487
103	0.5043867384
104	0.5041160276
105	0.5035809348
106	0.5032894188
107	0.5028749441
108	0.5026223377
109	0.5023173451
110	0.5019844909
111	0.501739487
112	0.5014943628
113	0.5012347156
114	0.5009750816
115	0.5007276423
116	0.5001283597
117	0.4997632245
118	0.4995625693
119	0.4992391544
120	0.4989343639
121	0.4985196452
122	0.4982477474
123	0.4980421131
124	0.4977470684
125	0.4975082786
126	0.4972117822
127	0.4969771162
128	0.4966902146
129	0.4964554327
130	0.4961933462
131	0.4959857561
132	0.4958105693
133	0.4955663233
134	0.4951696088
135	0.4949285408
136	0.4946973868
137	0.4944585348
138	0.4942277548
139	0.4940480849
140	0.4938298744
141	0.4936524135
142	0.4934108735
143	0.4931609261
144	0.4928839276
145	0.4925250315
146	0.4923370477
147	0.4919041489
148	0.4917153535
149	0.4915594873
150	0.4914024187
151	0.4912177368
152	0.490796129
153	0.4906228197
154	0.490413693
155	0.4902115385
156	0.4900565646
157	0.4898860397
158	0.4897281939
159	0.4895740755
160	0.4892530246
161	0.4891168558
162	0.4888955102
163	0.4886006196
164	0.4882795244
165	0.4879972925
166	0.487723402
167	0.4875677553
168	0.4873830599
169	0.4872087555
170	0.4870836755
171	0.4869202222
172	0.4867022732
173	0.48653557
174	0.4863928135
175	0.486258089
176	0.486059806
177	0.4859158344
178	0.4857788711
179	0.4856299683
180	0.4854670685
181	0.4852479797
182	0.4850543549
183	0.4848823927
184	0.484742694
185	0.4845333541
186	0.4843427844
187	0.4841894189
188	0.4839634211
189	0.4838499362
190	0.4836628423
191	0.4834597281
192	0.4833336531
193	0.4832026402
194	0.4830335573
195	0.4828616376
196	0.48274291
197	0.4826309736
198	0.482519327
199	0.4823777578
200	0.4821970024
201	0.4820148573
202	0.4818237786
203	0.4815699147
204	0.4814152139
205	0.4812036108
206	0.4808269538
207	0.4807256453
208	0.4806120289
209	0.4804535255
210	0.480320156
211	0.4801867926
212	0.4800374776
213	0.4799232556
214	0.4798235356
215	0.4797111299
216	0.479384554
217	0.4792591615
218	0.4790925072
219	0.4788951655
220	0.4787778254
221	0.4786227664
222	0.478388628
223	0.4780595543
224	0.4779586857
225	0.4778633716
226	0.477658022
227	0.4775339777
228	0.4774177057
229	0.4773144027
230	0.4771611671
231	0.4770723706
232	0.4769686312
233	0.4768298364
234	0.4766883822
235	0.4765964009
236	0.4764912597
237	0.4763850457
238	0.4762519191
239	0.4761225142
240	0.4759756297
241	0.4758094743
242	0.4756358817
243	0.4755479332
244	0.4754211422
245	0.4753118393
246	0.475210381
247	0.4750470571
248	0.4749397451
249	0.474746941
250	0.4746755352
251	0.4745236971
252	0.4743528732
253	0.4741145808
254	0.4739225627
255	0.4737866387
256	0.4736588147
257	0.4735531688
258	0.4734344527
259	0.4733455135
260	0.4732510417
261	0.4730730181
262	0.4729667066
263	0.4728235983
264	0.472729883
265	0.4726371497
266	0.4725493797
267	0.4724254869
268	0.4722831361
269	0.4721769793
270	0.4720979382
271	0.4719762739
272	0.4718884284
273	0.471734205
274	0.4713414248
275	0.4712127029
276	0.4711087389
277	0.4709996243
278	0.4709131491
279	0.4708188022
280	0.4706250173
281	0.4705328931
282	0.4703418174
283	0.4702589881
284	0.4700328537
285	0.4699175268
286	0.4698076595
287	0.4697099842
288	0.4695351512
289	0.4694118357
290	0.4693042861
291	0.4691717128
292	0.4690429755
293	0.4689594787
294	0.4688600734
295	0.4687135612
296	0.4685607472
297	0.4684411165
298	0.4683406189
299	0.4682001175
300	0.4681102484
301	0.4680159961
302	0.467950515
303	0.4678787167
304	0.4677900636
305	0.4676467648
306	0.4675382816
307	0.4674334376
308	0.4673231555
309	0.4672080144
310	0.4670834963
311	0.4669849523
312	0.4668555747
313	0.4667834858
314	0.4667185544
315	0.4666020669
316	0.4664889868
317	0.4663735324
318	0.4661831948
319	0.4660538345
320	0.4659850974
321	0.4659141357
322	0.4658326051
323	0.4656585641
324	0.4655241128
325	0.4654576098
326	0.4653016001
327	0.4652285591
328	0.4651577747
329	0.4650794016
330	0.4649819092
331	0.4648115206
332	0.4647296991
333	0.4646403101
334	0.4644688484
335	0.4643278472
336	0.4642642138
337	0.4641613874
338	0.4640792825
339	0.463983967
340	0.4638972568
341	0.4638202851
342	0.4636729486
343	0.4636070164
344	0.4635303756
345	0.4634668121
346	0.4633372256
347	0.4632497402
348	0.4631661437
349	0.4631006025
350	0.4630276876
351	0.4629295229
352	0.4628232235
353	0.4627677552
354	0.4626988079
355	0.4626030629
356	0.4625329704
357	0.4624233973
358	0.462326533
359	0.4622456223
360	0.4621723244
361	0.4620942208
362	0.4620323117
363	0.4619288334
364	0.4618309221
365	0.4616984672
366	0.461639002
367	0.4615659132
368	0.4614893638
369	0.461422436
370	0.4613048936
371	0.4612263153
372	0.4611429078
373	0.4610884159
374	0.4610072375
375	0.4609125745
376	0.4608502707
377	0.460764981
378	0.4607062735
379	0.4605951615
380	0.4605278167
381	0.4604596806
382	0.4602915141
383	0.4602298012
384	0.4600810604
385	0.4599799646
386	0.4598291635
387	0.4597766827
388	0.4596984832
389	0.4596115234
390	0.4595608391
391	0.4594821377
392	0.4593256053
393	0.4592458485
394	0.459184097
395	0.4591061673
396	0.4590375003
397	0.4589493293
398	0.4588627496
399	0.458771648
