iter	Passed	Remaining
0	173	69351
1	185	36975
2	200	26473
3	212	21046
4	226	17888
5	239	15722
6	250	14087
7	263	12927
8	277	12035
9	290	11342
10	303	10728
11	314	10156
12	326	9718
13	339	9366
14	352	9052
15	363	8716
16	375	8458
17	388	8254
18	402	8067
19	413	7863
20	427	7715
21	441	7592
22	454	7453
23	465	7295
24	475	7134
25	486	6995
26	496	6858
27	506	6728
28	516	6605
29	526	6490
30	536	6385
31	547	6296
32	557	6201
33	567	6111
34	578	6027
35	587	5939
36	597	5865
37	607	5787
38	617	5719
39	627	5647
40	637	5582
41	647	5519
42	657	5461
43	667	5400
44	677	5348
45	687	5294
46	698	5243
47	708	5193
48	718	5145
49	728	5101
50	739	5061
51	750	5025
52	761	4986
53	771	4944
54	781	4904
55	791	4864
56	802	4830
57	812	4793
58	822	4751
59	832	4718
60	843	4688
61	853	4651
62	864	4623
63	873	4588
64	883	4552
65	894	4526
66	904	4497
67	916	4475
68	930	4462
69	943	4448
70	960	4451
71	974	4441
72	987	4422
73	1001	4410
74	1013	4391
75	1025	4369
76	1035	4345
77	1048	4328
78	1061	4312
79	1073	4293
80	1084	4271
81	1096	4250
82	1108	4231
83	1121	4219
84	1133	4200
85	1145	4182
86	1157	4164
87	1168	4143
88	1179	4123
89	1190	4101
90	1201	4080
91	1212	4059
92	1226	4048
93	1238	4031
94	1248	4006
95	1258	3985
96	1267	3960
97	1277	3936
98	1287	3914
99	1296	3890
100	1307	3870
101	1316	3846
102	1326	3825
103	1337	3805
104	1346	3783
105	1357	3765
106	1367	3743
107	1377	3724
108	1387	3703
109	1396	3682
110	1407	3663
111	1417	3643
112	1426	3622
113	1435	3602
114	1445	3581
115	1455	3562
116	1466	3546
117	1476	3528
118	1486	3510
119	1495	3490
120	1506	3472
121	1515	3453
122	1526	3436
123	1535	3417
124	1547	3404
125	1557	3386
126	1566	3368
127	1576	3349
128	1586	3332
129	1595	3313
130	1605	3297
131	1615	3279
132	1624	3261
133	1635	3246
134	1645	3229
135	1655	3212
136	1664	3194
137	1673	3177
138	1686	3165
139	1697	3153
140	1710	3141
141	1722	3129
142	1733	3115
143	1744	3101
144	1756	3089
145	1767	3075
146	1777	3058
147	1787	3043
148	1796	3026
149	1806	3010
150	1816	2994
151	1825	2978
152	1835	2963
153	1844	2946
154	1854	2931
155	1864	2916
156	1873	2899
157	1883	2884
158	1893	2869
159	1903	2854
160	1913	2841
161	1923	2825
162	1933	2811
163	1942	2795
164	1952	2780
165	1961	2765
166	1971	2750
167	1980	2735
168	1991	2722
169	2002	2708
170	2012	2694
171	2022	2681
172	2034	2669
173	2045	2656
174	2055	2643
175	2067	2630
176	2078	2618
177	2088	2604
178	2098	2591
179	2109	2577
180	2119	2564
181	2129	2551
182	2141	2539
183	2152	2527
184	2163	2514
185	2174	2501
186	2185	2489
187	2197	2478
188	2208	2465
189	2218	2452
190	2228	2438
191	2237	2424
192	2247	2410
193	2257	2397
194	2267	2383
195	2276	2369
196	2286	2356
197	2296	2342
198	2306	2329
199	2316	2316
200	2326	2302
201	2337	2290
202	2348	2279
203	2362	2269
204	2372	2256
205	2384	2245
206	2394	2232
207	2404	2219
208	2414	2206
209	2424	2193
210	2434	2180
211	2444	2167
212	2453	2154
213	2463	2140
214	2472	2127
215	2482	2114
216	2492	2102
217	2501	2088
218	2511	2075
219	2521	2063
220	2532	2050
221	2542	2038
222	2554	2027
223	2565	2015
224	2575	2003
225	2585	1990
226	2595	1978
227	2604	1965
228	2614	1952
229	2624	1940
230	2634	1927
231	2645	1915
232	2655	1903
233	2666	1891
234	2677	1880
235	2688	1868
236	2699	1856
237	2710	1844
238	2720	1832
239	2730	1820
240	2741	1808
241	2751	1796
242	2762	1784
243	2771	1771
244	2781	1759
245	2791	1747
246	2801	1735
247	2811	1723
248	2821	1711
249	2831	1698
250	2841	1686
251	2851	1674
252	2862	1662
253	2871	1650
254	2881	1638
255	2891	1626
256	2901	1614
257	2912	1602
258	2923	1591
259	2933	1579
260	2943	1567
261	2953	1555
262	2963	1543
263	2972	1531
264	2981	1519
265	2992	1507
266	3001	1495
267	3011	1483
268	3021	1471
269	3030	1459
270	3040	1447
271	3050	1435
272	3061	1424
273	3072	1412
274	3081	1400
275	3091	1389
276	3101	1377
277	3111	1365
278	3122	1354
279	3132	1342
280	3142	1330
281	3151	1318
282	3161	1307
283	3171	1295
284	3180	1283
285	3190	1271
286	3200	1260
287	3210	1248
288	3220	1237
289	3230	1225
290	3240	1213
291	3251	1202
292	3261	1191
293	3272	1179
294	3281	1168
295	3292	1156
296	3301	1145
297	3311	1133
298	3320	1121
299	3330	1110
300	3340	1098
301	3351	1087
302	3360	1075
303	3370	1064
304	3379	1052
305	3390	1041
306	3400	1030
307	3411	1018
308	3421	1007
309	3430	996
310	3441	984
311	3451	973
312	3460	961
313	3470	950
314	3480	939
315	3490	927
316	3501	916
317	3510	905
318	3520	894
319	3530	882
320	3541	871
321	3552	860
322	3561	849
323	3573	838
324	3583	827
325	3592	815
326	3603	804
327	3614	793
328	3623	782
329	3633	770
330	3642	759
331	3652	748
332	3662	736
333	3675	726
334	3692	716
335	3702	705
336	3711	693
337	3721	682
338	3731	671
339	3741	660
340	3752	649
341	3762	638
342	3772	626
343	3782	615
344	3792	604
345	3802	593
346	3812	582
347	3822	571
348	3832	559
349	3841	548
350	3851	537
351	3862	526
352	3872	515
353	3882	504
354	3893	493
355	3903	482
356	3913	471
357	3923	460
358	3934	449
359	3945	438
360	3954	427
361	3964	416
362	3973	405
363	3983	394
364	3994	383
365	4003	371
366	4013	360
367	4022	349
368	4032	338
369	4043	327
370	4052	316
371	4062	305
372	4072	294
373	4084	283
374	4095	273
375	4104	262
376	4115	251
377	4128	240
378	4138	229
379	4149	218
380	4161	207
381	4170	196
382	4180	185
383	4189	174
384	4200	163
385	4210	152
386	4220	141
387	4230	130
388	4239	119
389	4250	108
390	4259	98
391	4268	87
392	4279	76
393	4288	65
394	4298	54
395	4307	43
396	4317	32
397	4327	21
398	4337	10
399	4346	0
