Subgroup variable,Subgroup,n,ADE rate (%),AUROC,AUPRC,Sensitivity,Specificity,PPV,NPV,F1,FNR,FPR,Brier Score,Fairness flag
patient_sex,Female,20788,42.8565,0.8535,0.8167,0.6863,0.8333,0.7554,0.7798,0.7192,0.3137,0.1667,0.155,FNR gap > 0.10
patient_sex,Male,15757,50.5236,0.8715,0.8713,0.8126,0.7506,0.7689,0.7968,0.7902,0.1874,0.2494,0.1463,No major concern
patient_sex,Unknown,3455,35.2822,0.8857,0.8027,0.6374,0.8788,0.7414,0.8164,0.6855,0.3626,0.1212,0.1322,FNR gap > 0.10
age_group,Adult(19-40),3782,46.5891,0.8125,0.7736,0.7361,0.7243,0.6996,0.7588,0.7174,0.2639,0.2757,0.1772,FNR gap > 0.10
age_group,Child(3-12),582,40.8935,0.8376,0.75,0.7101,0.7849,0.6955,0.7965,0.7027,0.2899,0.2151,0.1627,FNR gap > 0.10
age_group,Elderly(81+),2092,62.3327,0.8534,0.9013,0.8543,0.6701,0.8108,0.7354,0.832,0.1457,0.3299,0.148,No major concern
age_group,Infant(0-2),205,52.6829,0.7027,0.7484,0.713,0.5567,0.6417,0.6353,0.6754,0.287,0.4433,0.218,FNR gap > 0.10
age_group,Middle-Aged(41-65),12533,51.3604,0.841,0.8481,0.7646,0.7448,0.7598,0.7498,0.7622,0.2354,0.2552,0.1632,No major concern
age_group,Senior(66-80),8499,56.4537,0.8654,0.8904,0.8399,0.7079,0.7885,0.7733,0.8134,0.1601,0.2921,0.1483,No major concern
age_group,Teen(13-18),567,39.8589,0.8084,0.7014,0.6814,0.7478,0.6417,0.7798,0.6609,0.3186,0.2522,0.1733,FNR gap > 0.10
age_group,Unknown,11740,27.3935,0.8735,0.7428,0.4966,0.9369,0.748,0.8314,0.5969,0.5034,0.0631,0.1245,FNR gap > 0.10
country,AU,292,61.9863,0.7555,0.8301,0.8895,0.3874,0.7031,0.6825,0.7854,0.1105,0.6126,0.1925,AUROC gap > 0.05
country,BR,668,51.497,0.6939,0.6939,0.7442,0.5494,0.6368,0.6692,0.6863,0.2558,0.4506,0.2214,FNR gap > 0.10
country,CA,1773,47.1517,0.6947,0.6862,0.6112,0.6713,0.6239,0.6593,0.6175,0.3888,0.3287,0.2196,FNR gap > 0.10
country,DE,1106,73.5986,0.7292,0.88,0.9558,0.1986,0.7688,0.617,0.8521,0.0442,0.8014,0.169,AUROC gap > 0.05
country,ES,299,67.2241,0.7871,0.8899,0.9154,0.3469,0.7419,0.6667,0.8196,0.0846,0.6531,0.1762,AUROC gap > 0.05
country,FR,1226,72.9201,0.7374,0.8728,0.9497,0.2169,0.7656,0.6154,0.8477,0.0503,0.7831,0.1689,AUROC gap > 0.05
country,GB,1363,63.8298,0.7422,0.8491,0.8609,0.3753,0.7086,0.6046,0.7774,0.1391,0.6247,0.1928,AUROC gap > 0.05
country,IT,850,64.4706,0.6678,0.7843,0.9234,0.2086,0.6792,0.6,0.7827,0.0766,0.7914,0.2108,AUROC gap > 0.05
country,JP,2503,68.9573,0.7578,0.8617,0.927,0.3526,0.7608,0.685,0.8357,0.073,0.6474,0.1725,AUROC gap > 0.05
country,US,26346,35.5082,0.8864,0.8319,0.6155,0.921,0.811,0.8131,0.6998,0.3845,0.079,0.1287,FNR gap > 0.10
drug_count_category,2-3 Drugs,10421,40.6583,0.8552,0.8047,0.6493,0.8483,0.7457,0.7793,0.6942,0.3507,0.1517,0.1529,FNR gap > 0.10
drug_count_category,4-5 Drugs,5467,49.9726,0.8416,0.8416,0.7379,0.7623,0.7562,0.7444,0.7469,0.2621,0.2377,0.1636,AUROC gap > 0.05
drug_count_category,Polypharmacy(6+),14046,56.913,0.8316,0.862,0.8327,0.6566,0.7621,0.7483,0.7959,0.1673,0.3434,0.1653,AUROC gap > 0.05
drug_count_category,Single,10041,30.973,0.8983,0.8198,0.6177,0.9243,0.7854,0.8434,0.6915,0.3823,0.0757,0.1167,FNR gap > 0.10
