Subgroup variable,Subgroup,n,ADE rate (%),AUROC,AUPRC,Sensitivity,Specificity,FNR,FPR,Brier Score,Fairness flag
patient_sex,Female,20788,42.856455647488936,0.8501850623449335,0.8133663736282191,0.6777416096082614,0.8344136711844431,0.3222583903917387,0.16558632881555688,0.15679970383644104,FNR gap > 0.10
patient_sex,Male,15757,50.5235768229993,0.868345662658049,0.8684556952544135,0.8081899258887074,0.7471780400205233,0.19181007411129256,0.25282195997947665,0.1481216996908188,No major concern
patient_sex,Unknown,3455,35.2821997105644,0.8825922227228101,0.7968366093887228,0.6226415094339622,0.8846153846153846,0.37735849056603776,0.11538461538461539,0.13455809652805328,FNR gap > 0.10
age_group,Adult(19-40),3782,46.58910629296669,0.807067098594082,0.7692471908437346,0.7343927355278093,0.7108910891089109,0.2656072644721907,0.2891089108910891,0.1794682741165161,FNR gap > 0.10
age_group,Child(3-12),582,40.893470790378004,0.8341374340433847,0.7540661898300018,0.7142857142857143,0.7790697674418605,0.2857142857142857,0.22093023255813954,0.16460663080215454,FNR gap > 0.10
age_group,Elderly(81+),2092,62.33269598470363,0.8511870932079351,0.900972616774969,0.8588957055214724,0.6687817258883249,0.1411042944785276,0.33121827411167515,0.1498594880104065,No major concern
age_group,Infant(0-2),205,52.6829268292683,0.7131538755250095,0.7607186253904638,0.6759259259259259,0.5773195876288659,0.32407407407407407,0.422680412371134,0.21433645486831665,FNR gap > 0.10
age_group,Middle-Aged(41-65),12533,51.36040852150323,0.8378404871647143,0.8457341353129204,0.7598260059033711,0.7401574803149606,0.24017399409662887,0.25984251968503935,0.16492432355880737,No major concern
age_group,Senior(66-80),8499,56.45370043534533,0.8614304302916451,0.8874020479327362,0.8313880783659858,0.7041340178330181,0.16861192163401417,0.2958659821669819,0.15043999254703522,No major concern
age_group,Teen(13-18),567,39.85890652557319,0.8025199179923701,0.6951835975001417,0.7079646017699115,0.7448680351906158,0.2920353982300885,0.25513196480938416,0.17574411630630493,FNR gap > 0.10
age_group,Unknown,11740,27.393526405451446,0.8707075216071216,0.7382386449826588,0.47699004975124376,0.9450961989676209,0.5230099502487562,0.054903801032379164,0.12616491317749023,FNR gap > 0.10
country,AU,292,61.986301369863014,0.76113682743517,0.8335287247095877,0.8895027624309392,0.3963963963963964,0.11049723756906077,0.6036036036036037,0.19185076653957367,AUROC gap > 0.05
country,BR,668,51.49700598802395,0.6866745621590583,0.6930891879579801,0.7093023255813954,0.5432098765432098,0.29069767441860467,0.4567901234567901,0.22230786085128784,FNR gap > 0.10
country,CA,1773,47.15172024816695,0.6819235011463849,0.6735110788860845,0.5885167464114832,0.6744930629669157,0.41148325358851673,0.3255069370330843,0.22260798513889313,FNR gap > 0.10
country,DE,1106,73.59855334538878,0.7332427383797246,0.8830898287721607,0.957002457002457,0.2363013698630137,0.042997542997543,0.7636986301369864,0.16809380054473877,AUROC gap > 0.05
country,ES,299,67.22408026755853,0.7910955426946898,0.8938879096599114,0.9054726368159204,0.3163265306122449,0.0945273631840796,0.6836734693877551,0.1767798811197281,AUROC gap > 0.05
country,FR,1226,72.92006525285481,0.7282822565429503,0.8707181110908296,0.9507829977628636,0.19879518072289157,0.049217002237136466,0.8012048192771084,0.1716650128364563,AUROC gap > 0.05
country,GB,1363,63.829787234042556,0.7420111445291553,0.8501375087971257,0.8597701149425288,0.3488843813387424,0.14022988505747128,0.6511156186612576,0.19361144304275513,AUROC gap > 0.05
country,IT,850,64.47058823529412,0.6470760622613235,0.770954292987359,0.9288321167883211,0.1986754966887417,0.07116788321167883,0.8013245033112583,0.21508508920669556,AUROC gap > 0.05
country,JP,2503,68.95725129844188,0.7513138448827905,0.8575357373510416,0.9235225955967555,0.3384813384813385,0.07647740440324449,0.6615186615186616,0.17452706396579742,AUROC gap > 0.05
country,US,26346,35.50823654444697,0.8824100922294794,0.8268027500421907,0.6041688936397648,0.922135248072509,0.39583110636023516,0.07786475192749102,0.13078998029232025,FNR gap > 0.10
drug_count_category,2-3 Drugs,10421,40.65828615296037,0.8519590858698443,0.8009557952088958,0.6438517819211707,0.8486416558861578,0.35614821807882935,0.15135834411384216,0.15452077984809875,FNR gap > 0.10
drug_count_category,4-5 Drugs,5467,49.97256264861898,0.8358378992561584,0.837398171578263,0.7258418740849195,0.7656307129798903,0.27415812591508054,0.2343692870201097,0.16625742614269257,AUROC gap > 0.05
drug_count_category,Polypharmacy(6+),14046,56.91300014238929,0.8265615106901889,0.8581761810564967,0.822867150362772,0.6594514210178454,0.17713284963722792,0.3405485789821547,0.1676844358444214,AUROC gap > 0.05
drug_count_category,Single,10041,30.97301065630913,0.8961304841800737,0.8171053845279002,0.6192926045016077,0.9202135334006637,0.3807073954983923,0.07978646659933632,0.11757626384496689,FNR gap > 0.10
