Feature,Mean_abs_SHAP
country_US,0.48151782
age_group_Unknown,0.3134218
num_drugs,0.21838558
num_reactions,0.17788464
report_age_days,0.105599515
primary_reaction_Death,0.10269518
patient_age_years,0.0923443
primary_reaction_infrequent_sklearn,0.08634707
suspect_drug_RISPERIDONE,0.07099827
drug_indication_Diabetes Mellitus,0.06138212
patient_sex_Male,0.061097525
drug_route_42.0,0.06057093
patient_sex_Female,0.055383917
patient_weight_kg,0.05505528
country_CA,0.04587016
suspect_drug_RIVAROXABAN,0.045259796
suspect_drug_infrequent_sklearn,0.042429544
drug_indication_Unknown,0.04007351
primary_reaction_Drug hypersensitivity,0.032704722
suspect_drug_AVANDIA,0.03018711
primary_reaction_Drug ineffective,0.028730119
primary_reaction_Myocardial infarction,0.026027808
drug_route_48.0,0.025537595
"manufacturer_Gilead Sciences, Inc.",0.025394263
reactions_infrequent_sklearn,0.025277507
primary_reaction_Pneumonia,0.024528127
suspect_drug_EVOLOCUMAB,0.024479764
suspect_drug_ETANERCEPT,0.022060322
patient_sex_Unknown,0.021756962
primary_reaction_Gastrointestinal haemorrhage,0.021709291
drug_count_category_Polypharmacy(6+),0.020130012
country_DE,0.01788567
"manufacturer_Actelion Pharmaceuticals Us, Inc.",0.017356433
drug_route_58.0,0.01649664
"manufacturer_Cosette Pharmaceuticals, Inc.",0.0155523475
suspect_drug_ADALIMUMAB,0.015488863
"manufacturer_Janssen Pharmaceuticals, Inc.",0.015417197
"manufacturer_Astellas Pharma Us, Inc.",0.015188322
suspect_drug_DABIGATRAN ETEXILATE MESYLATE; DABIGATRAN ETEXILATE,0.015036415
drug_route_Unknown,0.01474674
drug_route_41.0,0.014539887
manufacturer_Bayer Healthcare Pharmaceuticals Inc.,0.014467236
country_FR,0.014303002
suspect_drug_FINGOLIMOD HCL,0.013563392
manufacturer_Parke-Davis Div Of Pfizer Inc; Viatris Specialty Llc,0.013558068
primary_reaction_Cerebrovascular accident,0.013253046
manufacturer_Biogen Inc.,0.013015032
suspect_drug_APREMILAST,0.012947802
country_BR,0.012808421
manufacturer_Novartis Pharmaceuticals Corporation,0.012549304
primary_reaction_Acute kidney injury,0.012333388
"manufacturer_Actavis Pharma, Inc.; Zydus Lifesciences Limited; Gilead Sciences, Inc.; Mylan Pharmaceuticals Inc.; Aurobindo Pharma Limited",0.012326527
drug_indication_Chronic Hepatitis C,0.012154055
primary_reaction_Acute myocardial infarction,0.012132334
manufacturer_Pfizer Laboratories Div Pfizer Inc; U.S. Pharmaceuticals,0.011986087
drug_indication_Pulmonary Arterial Hypertension,0.011453053
drug_indication_Androgen Replacement Therapy,0.011352705
drug_count_category_Single,0.011101625
suspect_drug_INSULIN GLARGINE,0.011069351
manufacturer_Eli Lilly And Company,0.010980127
drug_indication_infrequent_sklearn,0.009852072
suspect_drug_SODIUM OXYBATE,0.009257757
suspect_drug_AMBRISENTAN,0.009193951
primary_reaction_Gynaecomastia,0.009026481
manufacturer_Unknown,0.008546082
drug_route_30.0,0.008521119
drug_route_65.0,0.008212545
drug_route_33.0,0.0081630815
suspect_drug_DARBEPOETIN ALFA,0.007709523
primary_reaction_Cardiac failure congestive,0.007705125
year,0.0075365524
drug_indication_Atrial Fibrillation,0.007403115
primary_reaction_Maternal exposure during pregnancy,0.007101105
drug_indication_Plasma Cell Myeloma,0.0070241243
suspect_drug_TESTOSTERONE,0.0069821426
drug_indication_Rheumatoid Arthritis,0.0069654137
reactions_Hospitalisation,0.0065839286
"manufacturer_Amgen, Inc",0.0065762238
primary_reaction_Pyrexia,0.0065301866
primary_reaction_Fall,0.0064747278
primary_reaction_Coronary artery disease,0.0063094874
"manufacturer_Allergan, Inc.",0.006032912
primary_reaction_Urinary tract infection,0.005736648
drug_indication_Crohn^S Disease,0.0057339836
primary_reaction_Fatigue,0.0057035624
drug_route_47.0,0.0056484262
suspect_drug_NIVOLUMAB,0.0054135234
age_group_Middle-Aged(41-65),0.005371616
country_JP,0.005307958
drug_route_62.0,0.0052422006
manufacturer_Merck Sharp & Dohme Llc,0.005051722
"manufacturer_Takeda Pharmaceuticals America, Inc.",0.005018912
primary_reaction_Malignant neoplasm progression,0.0049763387
drug_indication_Attention Deficit/Hyperactivity Disorder,0.0049230917
primary_reaction_Rash,0.0046174284
suspect_drug_SECUKINUMAB,0.0045208298
drug_indication_Product Used For Unknown Indication,0.004433077
manufacturer_Immunex Corporation,0.004188702
drug_indication_Hiv Infection,0.004052005
primary_reaction_Blood glucose increased,0.0039529735
"manufacturer_Janssen Biotech, Inc.",0.0038811485
suspect_drug_DULOXETINE HYDROCHLORIDE,0.0037423563
manufacturer_Glaxosmithkline Llc,0.0035319903
primary_reaction_Anaemia,0.003449188
primary_reaction_Headache,0.0033918053
manufacturer_Amgen Usa Inc.,0.0032976384
manufacturer_Organon Llc,0.0032689758
drug_route_59.0,0.003253287
"manufacturer_Merz Pharmaceuticals, Llc",0.0031919517
drug_indication_Pulmonary Hypertension,0.0031503034
suspect_drug_DENOSUMAB,0.0030350762
primary_reaction_Dyspnoea,0.0030016778
primary_reaction_Seizure,0.0029806343
primary_reaction_Dizziness,0.002965631
reactions_Drug hypersensitivity,0.0029426855
primary_reaction_Abnormal weight gain,0.0028387436
manufacturer_Pfizer Laboratories Div Pfizer Inc,0.0027586822
country_PR,0.0026456818
"manufacturer_Boehringer Ingelheim Pharmaceuticals, Inc.",0.0024234555
"manufacturer_Boehringer Ingelheim Pharmaceuticals Inc.; Boehringer Ingelheim Pharmaceuticals, Inc.",0.0023872205
"manufacturer_E.R. Squibb & Sons, L.L.C.",0.0022434688
drug_indication_Thrombosis Prophylaxis,0.0021457172
primary_reaction_Weight increased,0.00209661
primary_reaction_Nasopharyngitis,0.0019821872
age_group_Elderly(81+),0.0018677311
suspect_drug_LEVONORGESTREL,0.0017591339
reactions_Off label use,0.0017513101
reactions_Type 2 diabetes mellitus,0.0017473563
drug_route_61.0,0.001740251
manufacturer_infrequent_sklearn,0.0017113968
drug_indication_Hormone-Refractory Prostate Cancer,0.001695426
